NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,RWX,HOLD,PD_100001,VMR_100002_67,
,,RWX,HOLD,PD_100001,VMR_100002_68,
,,RWX,HOLD,PD_100001,VMR_100002_69,
,,RWX,HOLD,PD_100001,VMR_100002_70,
,,RWX,HOLD,PD_100001,VMR_100002_71,
,,RWX,HOLD,PD_100001,VMR_100002_72,
,,RWX,HOLD,PD_100001,VMR_100002_73,
,,RWX,HOLD,PD_100001,VMR_100002_74,
,,RWX,HOLD,PD_100001,VMR_100002_75,
,,RWX,HOLD,PD_100001,VMR_100002_76,
,,RWX,HOLD,PD_100001,VMR_100002_77,
,,RWX,HOLD,PD_100001,VMR_100002_78,
,,RWX,HOLD,PD_100001,VMR_100002_79,
,,RWX,HOLD,PD_100001,VMR_100002_80,
,,RWX,HOLD,PD_100001,VMR_100002_81,
,,RWX,HOLD,PD_100001,VMR_100002_82,
,,RWX,HOLD,PD_100001,VMR_100002_83,
,,RWX,HOLD,PD_100001,VMR_100002_84,
,,RWX,HOLD,PD_100001,VMR_100002_85,
,,RWX,HOLD,PD_100001,VMR_100002_86,
,,RWX,HOLD,PD_100001,VMR_100002_87,
,,RWX,HOLD,PD_100001,VMR_100002_88,
,,RWX,HOLD,PD_100001,VMR_100002_89,
,,RWX,HOLD,PD_100001,VMR_100002_90,
,,RWX,HOLD,PD_100001,VMR_100002_91,
,,RWX,HOLD,PD_100001,VMR_100002_92,
,,RWX,HOLD,PD_100001,VMR_100002_93,
,,RWX,HOLD,PD_100001,VMR_100002_94,
,,RWX,HOLD,PD_100001,VMR_100002_95,
,,RWX,HOLD,PD_100001,VMR_100002_96,
,,RWX,HOLD,PD_100001,VMR_100002_97,
,,RWX,HOLD,PD_100001,VMR_100002_98,
,,RWX,HOLD,PD_100001,VMR_100002_99,
,,RWX,HOLD,PD_100001,VMR_100002_100,
,,RWX,HOLD,PD_100001,VMR_100002_101,
,,RWX,HOLD,PD_100001,VMR_100002_102,
,,RWX,HOLD,PD_100001,VMR_100002_103,
,,RWX,HOLD,PD_100001,VMR_100002_104,
,,RWX,HOLD,PD_100001,VMR_100002_105,
,,RWX,HOLD,PD_100001,VMR_100002_106,
,,RWX,HOLD,PD_100001,VMR_100002_107,
,,RWX,HOLD,PD_100001,VMR_100002_108,
,,RWX,HOLD,PD_100001,VMR_100002_109,
,,RWX,HOLD,PD_100001,VMR_100002_110,
,,RWX,HOLD,PD_100001,VMR_100002_111,
,,RWX,HOLD,PD_100001,VMR_100002_112,
,,RWX,HOLD,PD_100001,VMR_100002_113,
,,RWX,HOLD,PD_100001,VMR_100002_114,
,,RWX,HOLD,PD_100001,VMR_100002_115,
,,RWX,HOLD,PD_100001,VMR_100002_116,
,,RWX,HOLD,PD_100001,VMR_100002_117,
,,RWX,HOLD,PD_100001,VMR_100002_118,
